"","STL","ATL","Series Winner"
"397","1","3","ATL"
"398","0","3","ATL"
"399","1","3","ATL"
"400","3","2","STL"
"401","1","3","ATL"
"402","2","3","ATL"
"403","2","3","ATL"
"404","2","3","ATL"
"405","1","3","ATL"
"406","1","3","ATL"
"407","3","2","STL"
"408","1","3","ATL"
"409","2","3","ATL"
"410","3","1","STL"
"411","2","3","ATL"
"412","1","3","ATL"
"413","3","2","STL"
"414","0","3","ATL"
"415","0","3","ATL"
"416","0","3","ATL"
"417","3","2","STL"
"418","0","3","ATL"
"419","1","3","ATL"
"420","3","1","STL"
"421","3","1","STL"
"422","2","3","ATL"
"423","0","3","ATL"
"424","2","3","ATL"
"425","2","3","ATL"
"426","3","2","STL"
"427","1","3","ATL"
"428","1","3","ATL"
"429","3","1","STL"
"430","3","0","STL"
"431","1","3","ATL"
"432","3","2","STL"
"433","2","3","ATL"
"434","3","2","STL"
"435","3","2","STL"
"436","1","3","ATL"
"437","3","2","STL"
"438","3","2","STL"
"439","2","3","ATL"
"440","1","3","ATL"
"441","3","1","STL"
"442","3","2","STL"
"443","2","3","ATL"
"444","2","3","ATL"
"445","3","1","STL"
"446","2","3","ATL"
"447","3","1","STL"
"448","3","2","STL"
"449","1","3","ATL"
"450","1","3","ATL"
"451","3","1","STL"
"452","1","3","ATL"
"453","3","2","STL"
"454","1","3","ATL"
"455","3","0","STL"
"456","1","3","ATL"
"457","1","3","ATL"
"458","2","3","ATL"
"459","3","2","STL"
"460","1","3","ATL"
"461","3","2","STL"
"462","2","3","ATL"
"463","3","1","STL"
"464","1","3","ATL"
"465","3","1","STL"
"466","3","2","STL"
"467","0","3","ATL"
"468","2","3","ATL"
"469","3","2","STL"
"470","1","3","ATL"
"471","3","1","STL"
"472","3","2","STL"
"473","3","0","STL"
"474","3","0","STL"
"475","1","3","ATL"
"476","3","2","STL"
"477","2","3","ATL"
"478","1","3","ATL"
"479","3","2","STL"
"480","0","3","ATL"
"481","1","3","ATL"
"482","1","3","ATL"
"483","3","1","STL"
"484","3","0","STL"
"485","3","0","STL"
"486","0","3","ATL"
"487","0","3","ATL"
"488","2","3","ATL"
"489","3","2","STL"
"490","2","3","ATL"
"491","2","3","ATL"
"492","3","0","STL"
"493","1","3","ATL"
"494","3","1","STL"
"495","1","3","ATL"
"496","2","3","ATL"
"497","3","0","STL"
"498","3","1","STL"
"499","0","3","ATL"
"500","3","1","STL"
"501","1","3","ATL"
"502","3","1","STL"
"503","0","3","ATL"
"504","2","3","ATL"
"505","1","3","ATL"
"506","2","3","ATL"
"507","0","3","ATL"
"508","3","0","STL"
