"","TBR","OAK","Winner"
"477","2","2","OAK"
"478","2","2","TBR"
"479","3","3","TBR"
"480","2","3","OAK"
"481","7","0","TBR"
"482","4","2","TBR"
"483","5","6","OAK"
"484","3","9","OAK"
"485","3","4","OAK"
"486","3","8","OAK"
"487","5","3","TBR"
"488","5","7","OAK"
"489","3","7","OAK"
"490","7","8","OAK"
"491","6","3","TBR"
"492","2","7","OAK"
"493","7","10","OAK"
"494","4","6","OAK"
"495","2","4","OAK"
"496","7","5","TBR"
"497","0","2","OAK"
"498","4","6","OAK"
"499","6","5","TBR"
"500","4","12","OAK"
"501","7","3","TBR"
"502","8","2","TBR"
"503","7","5","TBR"
"504","5","2","TBR"
"505","2","3","OAK"
"506","4","4","TBR"
"507","6","3","TBR"
"508","4","4","TBR"
"509","6","1","TBR"
"510","6","4","TBR"
"511","3","9","OAK"
"512","5","2","TBR"
"513","12","10","TBR"
"514","4","0","TBR"
"515","5","11","OAK"
"516","3","3","TBR"
"517","4","17","OAK"
"518","8","1","TBR"
"519","12","9","TBR"
"520","12","9","TBR"
"521","6","7","OAK"
"522","10","3","TBR"
"523","2","7","OAK"
"524","1","0","TBR"
"525","9","5","TBR"
"526","8","4","TBR"
"527","6","2","TBR"
"528","1","4","OAK"
"529","1","6","OAK"
"530","7","4","TBR"
"531","1","4","OAK"
"532","3","1","TBR"
"533","7","3","TBR"
"534","2","2","TBR"
"535","4","11","OAK"
"536","3","5","OAK"
"537","5","3","TBR"
"538","11","1","TBR"
"539","7","5","TBR"
"540","2","2","OAK"
"541","5","4","TBR"
"542","11","7","TBR"
"543","13","4","TBR"
"544","7","4","TBR"
"545","4","2","TBR"
"546","3","1","TBR"
"547","2","9","OAK"
"548","9","2","TBR"
"549","4","1","TBR"
"550","1","13","OAK"
"551","11","13","OAK"
"552","6","2","TBR"
"553","6","4","TBR"
"554","6","3","TBR"
"555","13","2","TBR"
"556","4","8","OAK"
"557","9","1","TBR"
"558","0","4","OAK"
"559","10","10","OAK"
"560","11","11","OAK"
"561","3","2","TBR"
"562","3","2","TBR"
"563","9","4","TBR"
"564","11","3","TBR"
"565","6","5","TBR"
"566","5","2","TBR"
"567","6","2","TBR"
"568","10","7","TBR"
"569","5","4","TBR"
"570","6","7","OAK"
"571","3","4","OAK"
"572","4","8","OAK"
"573","4","2","TBR"
"574","2","1","TBR"
"575","0","14","OAK"
"576","4","7","OAK"
"577","7","0","TBR"
"578","2","4","OAK"
"579","10","2","TBR"
"580","8","9","OAK"
"581","4","3","TBR"
"582","10","7","TBR"
"583","4","9","OAK"
"584","7","1","TBR"
"585","10","3","TBR"
"586","4","5","OAK"
"587","5","1","TBR"
"588","3","3","OAK"
"589","3","3","TBR"
"590","5","4","TBR"
"591","12","2","TBR"
"592","2","11","OAK"
"593","0","6","OAK"
"594","4","3","TBR"
"595","1","6","OAK"
"596","11","1","TBR"
"597","4","3","TBR"
"598","5","5","TBR"
"599","0","3","OAK"
"600","4","2","TBR"
"601","3","4","OAK"
"602","2","4","OAK"
"603","5","0","TBR"
"604","2","1","TBR"
"605","0","15","OAK"
"606","5","2","TBR"
"607","4","5","OAK"
"608","7","8","OAK"
"609","8","6","TBR"
"610","7","3","TBR"
"611","6","1","TBR"
"612","6","4","TBR"
"613","5","6","OAK"
"614","1","3","OAK"
"615","2","5","OAK"
"616","2","2","TBR"
"617","7","2","TBR"
"618","0","7","OAK"
"619","2","7","OAK"
"620","5","6","OAK"
"621","4","4","TBR"
"622","2","4","OAK"
"623","4","8","OAK"
"624","7","10","OAK"
"625","2","5","OAK"
"626","4","4","TBR"
"627","6","0","TBR"
"628","5","7","OAK"
"629","3","4","OAK"
"630","3","4","OAK"
"631","3","5","OAK"
"632","7","8","OAK"
"633","11","8","TBR"
"634","3","0","TBR"
"635","16","5","TBR"
"636","7","3","TBR"
"637","8","13","OAK"
"638","2","4","OAK"
"639","4","1","TBR"
"640","8","8","OAK"
"641","2","1","TBR"
"642","5","11","OAK"
"643","7","6","TBR"
"644","7","4","TBR"
"645","4","1","TBR"
"646","4","8","OAK"
"647","0","5","OAK"
"648","4","3","TBR"
"649","5","5","OAK"
"650","3","3","TBR"
"651","6","2","TBR"
"652","2","3","OAK"
"653","8","6","TBR"
"654","5","3","TBR"
"655","3","2","TBR"
"656","6","6","TBR"
"657","3","7","OAK"
"658","14","3","TBR"
"659","11","8","TBR"
"660","5","4","TBR"
"661","7","7","TBR"
"662","3","1","TBR"
"663","1","1","OAK"
"664","4","6","OAK"
"665","5","5","OAK"
"666","9","11","OAK"
"667","7","7","OAK"
"668","8","4","TBR"
"669","3","2","TBR"
"670","11","4","TBR"
"671","10","1","TBR"
"672","1","5","OAK"
"673","8","7","TBR"
"674","1","3","OAK"
"675","1","2","OAK"
"676","1","4","OAK"
"677","8","0","TBR"
"678","7","9","OAK"
"679","3","0","TBR"
"680","4","2","TBR"
"681","9","6","TBR"
"682","6","9","OAK"
"683","1","9","OAK"
"684","0","7","OAK"
"685","11","4","TBR"
"686","2","2","OAK"
"687","5","3","TBR"
"688","0","6","OAK"
"689","3","5","OAK"
"690","4","4","OAK"
"691","1","9","OAK"
"692","3","1","TBR"
"693","7","6","TBR"
"694","7","6","TBR"
"695","1","1","OAK"
"696","6","1","TBR"
"697","5","16","OAK"
"698","9","4","TBR"
"699","5","7","OAK"
"700","3","8","OAK"
"701","3","10","OAK"
