Rk,Name,Age,Tm,PA,H,2B,3B,HR,BB,HBP
123,Brian Moran*\moranbr01,30,MIA,0,0,0,0,0,0,0
124,Mike Montgomery*\montgmi01,29,CHC,5,1,0,0,0,0,0
125,A.J. Minter*\minteaj01,25,ATL,0,0,0,0,0,0,0
126,Justin Miller\milleju02,32,WSN,0,0,0,0,0,0,0
127,Andrew Miller*\millean01,34,STL,0,0,0,0,0,0,0
128,Miles Mikolas\mikolmi01,30,STL,62,8,1,0,0,0,0
129,Mark Melancon\melanma01,34,TOT,0,0,0,0,0,0,0
130,Alex McRae\mcraeal01,26,PIT,7,2,0,0,0,0,0
131,Jake McGee*\mcgeeja01,32,COL,0,0,0,0,0,0,0
132,T.J. McFarland*\mcfartj01,30,ARI,5,0,0,0,0,0,0
133,Mike Mayers\mayermi01,27,STL,1,0,0,0,0,0,0
134,Dustin May\maydu01,21,LAD,11,1,0,0,0,0,0
135,Steven Matz\matzst01,28,NYM,61,13,0,0,1,0,0
136,Phil Maton\matonph01,26,SDP,4,1,0,0,0,0,0
137,Carlos Martinez\martica04,27,STL,1,0,0,0,0,0,0
138,Chris Martin\martich02,33,ATL,0,0,0,0,0,0,0
139,German Marquez\marquge01,24,COL,58,11,4,1,0,0,0
140,Parker Markel\markepa01,28,PIT,3,0,0,0,0,0,0
141,Nick Margevicius*\margeni01,23,SDP,17,3,0,0,0,0,0
142,Dillon Maples\mapledi01,27,CHC,0,0,0,0,0,0,0
143,Tyler Mahle\mahlety01,24,CIN,41,3,1,0,0,1,0
144,Kenta Maeda\maedake01,31,LAD,61,12,2,0,0,0,0
145,Jordan Lyles\lylesjo01,28,TOT,48,4,0,0,0,1,1
146,Seth Lugo\lugose01,29,NYM,1,1,0,0,0,0,0
147,Joey Lucchesi*\lucchjo01,26,SDP,54,3,0,0,0,1,0
148,Yoan Lopez\lopezyo01,26,ARI,0,0,0,0,0,0,0
149,Pablo Lopez*\lopezpa01,23,MIA,36,6,2,0,0,0,0
150,Francisco Liriano*\liriafr01,35,PIT,2,1,0,0,0,1,0
151,Jon Lester*\lestejo01,35,CHC,53,9,2,0,1,5,0
152,Dominic Leone\leonedo01,27,STL,0,0,0,0,0,0,0
153,Mike Leake\leakemi01,31,ARI,22,1,0,0,0,0,0
154,Eric Lauer\lauerer01,24,SDP,48,4,2,0,0,1,0
155,Dinelson Lamet\lametdi01,26,SDP,24,3,0,0,0,0,0
156,Peter Lambert\lambepe01,22,COL,34,9,0,0,0,3,0
157,Joel Kuhnel\kuhnejo01,24,CIN,1,0,0,0,0,0,0
158,Brandon Kintzler\kintzbr01,34,CHC,0,0,0,0,0,0,0
160,Tyler Kinley\kinlety01,28,MIA,1,0,0,0,0,0,0
161,Nick Kingham\kinghni01,27,PIT,8,0,0,0,0,2,0
162,Craig Kimbrel\kimbrcr01,31,CHC,0,0,0,0,0,0,0
163,Dallas Keuchel*\keuchda01,31,ATL,41,5,1,0,0,1,0
164,Clayton Kershaw*\kershcl01,31,LAD,65,5,1,0,0,1,0
165,Merrill Kelly\kellyme01,30,ARI,60,1,0,0,0,2,0
166,Joe Kelly\kellyjo05,31,LAD,3,0,0,0,0,0,0
167,Mitch Keller\kellemi03,23,PIT,11,0,0,0,0,0,0
168,Kyle Keller\kelleky01,26,MIA,0,0,0,0,0,0,0
169,Keone Kela\kelake01,26,PIT,0,0,0,0,0,0,0
170,DJ Johnson*\johnsdj01,29,COL,0,0,0,0,0,0,0
171,Williams Jerez*\jerezwi01,27,TOT,0,0,0,0,0,0,0
172,Jeremy Jeffress\jeffrje01,31,MIL,1,0,0,0,0,0,0
173,Kenley Jansen#\janseke01,31,LAD,1,0,0,0,0,0,0
174,Luke Jackson\jackslu01,27,ATL,0,0,0,0,0,0,0
175,Jay Jackson\jacksja01,31,MIL,2,0,0,0,0,0,0
176,Cole Irvin*\irvinco01,25,PHI,8,1,0,0,0,2,0
177,Raisel Iglesias\iglesra01,29,CIN,2,0,0,0,0,0,0
178,Jared Hughes\hugheja02,33,TOT,2,0,0,0,0,0,0
179,Daniel Hudson\hudsoda01,32,WSN,0,0,0,0,0,0,0
180,Dakota Hudson\hudsoda02,24,STL,59,4,0,0,0,0,1
181,Sam Howard\howarsa01,26,COL,1,0,0,0,0,0,0
182,Adrian Houser\housead01,26,MIL,27,1,1,0,0,2,0
183,Clay Holmes\holmecl01,26,PIT,5,0,0,0,0,0,0
184,Greg Holland\hollagr01,33,ARI,0,0,0,0,0,0,0
185,Derek Holland#\hollade01,32,TOT,16,1,0,0,0,1,0
186,Jeff Hoffman\hoffmje02,26,COL,24,5,0,0,0,0,0
187,Yoshihisa Hirano\hiranyo01,35,ARI,0,0,0,0,0,0,0
188,Rich Hill*\hillri01,39,LAD,20,3,1,0,0,1,0
189,Jordan Hicks\hicksjo03,22,STL,0,0,0,0,0,0,0
190,Elieser Hernandez\hernael01,24,MIA,24,1,0,0,0,1,0
191,David Hernandez\hernada01,34,CIN,0,0,0,0,0,0,0
192,Kyle Hendricks\hendrky01,29,CHC,64,8,1,0,0,2,1
193,Ryan Helsley\helslry01,24,STL,3,1,0,0,0,0,0
194,Geoff Hartlieb\hartlge01,25,PIT,0,0,0,0,0,0,0
195,J.D. Hammer\hammejd01,24,PHI,1,0,0,0,0,0,0
196,Cole Hamels*\hamelco01,35,CHC,46,6,1,0,0,1,1
197,Josh Hader*\haderjo01,25,MIL,2,0,0,0,0,0,0
198,Jandel Gustave\gustaja01,26,SFG,1,0,0,0,0,0,0
199,Tayron Guerrero\guerrta01,28,MIA,0,0,0,0,0,0,0
200,Junior Guerra\guerrju02,34,MIL,3,1,0,0,0,0,0
201,Javy Guerra\guerrja01,33,WSN,5,0,0,0,0,0,0
202,Robert Gsellman\gsellro01,25,NYM,1,0,0,0,0,1,0
203,Zack Greinke\greinza01,35,ARI,54,13,4,1,3,2,0
204,Shane Greene\greensh02,30,ATL,0,0,0,0,0,0,0
205,Sonny Gray\grayso01,29,CIN,60,7,0,1,0,2,0
206,Jon Gray\grayjo02,27,COL,59,3,0,0,0,3,0
207,Matt Grace*\gracema02,30,WSN,3,0,0,0,0,0,0
208,Trevor Gott\gotttr01,26,SFG,1,0,0,0,0,0,0
209,Gio Gonzalez\gonzagi01,33,MIL,28,1,0,0,0,1,0
210,Chi Chi Gonzalez\gonzach01,27,COL,24,1,0,0,0,0,0
211,Tony Gonsolin\gonsoto01,25,LAD,14,4,0,0,0,0,0
212,Zack Godley\godleza01,29,ARI,22,3,0,0,0,3,0
213,Kevin Ginkel*\ginkeke01,25,ARI,0,0,0,0,0,0,0
214,Kevin Gausman*\gausmke01,28,TOT,27,1,0,0,0,0,0
215,Amir Garrett\garream01,27,CIN,0,0,0,0,0,0,0
216,Yimi Garcia\garciyi01,28,LAD,2,0,0,0,0,0,0
217,Jarlin Garcia*\garcija04,26,MIA,1,0,0,0,0,0,0
218,Edgar Garcia\garcied01,22,PHI,0,0,0,0,0,0,0
219,John Gant\gantjo01,26,STL,3,0,0,0,0,0,0
220,Zac Gallen\galleza01,23,TOT,24,2,0,0,0,0,0
221,Giovanny Gallegos\gallegi01,27,STL,3,0,0,0,0,0,0
222,Drew Gagnon\gagnodr01,29,NYM,4,1,0,0,0,0,0
223,Max Fried*\friedma01,25,ATL,65,11,4,0,0,5,0
224,Kyle Freeland*\freelky01,26,COL,31,2,0,0,0,3,0
225,Wilmer Font\fontwi01,29,NYM,4,1,0,0,0,0,0
226,Mike Foltynewicz\foltymi01,27,ATL,38,2,0,0,0,0,0
227,Dylan Floro*\florody01,28,LAD,2,0,0,0,0,0,0
228,Jack Flaherty\flaheja01,23,STL,66,10,3,0,0,2,1
229,Junior Fernandez\fernaju01,22,STL,0,0,0,0,0,0,0
230,Caleb Ferguson\ferguca01,22,LAD,2,1,1,0,0,0,0
231,Michael Feliz\felizmi01,26,PIT,0,0,0,0,0,0,0
232,Erick Fedde\feddeer01,26,WSN,20,2,0,0,0,0,0
233,Jeurys Familia\familje01,29,NYM,0,0,0,0,0,0,0
234,Carlos Estevez\estevca01,26,COL,0,0,0,0,0,0,0
235,Robbie Erlin\erlinro01,28,SDP,4,0,0,0,0,0,0
236,Jerad Eickhoff\eickhje01,28,PHI,19,0,0,0,0,1,0
237,Zach Eflin\eflinza01,25,PHI,52,8,1,0,0,0,0
238,Carl Edwards Jr.\edwarca01,27,TOT,0,0,0,0,0,0,0
239,Sam Dyson\dysonsa01,31,SFG,0,0,0,0,0,0,0
240,Montana DuRapau\durapmo01,27,PIT,4,1,0,0,0,0,0
241,Jon Duplantier*\duplajo01,24,ARI,8,1,0,0,0,0,0
242,Mike Dunn*\dunnmi01,34,COL,0,0,0,0,0,0,0
243,Zach Duke*\dukeza01,36,CIN,0,0,0,0,0,0,0
244,Sean Doolittle*\doolise01,32,WSN,3,0,0,0,0,0,0
245,Seranthony Dominguez\dominse01,24,PHI,1,0,0,0,0,0,0
246,Phillip Diehl*\diehlph01,24,COL,0,0,0,0,0,0,0
247,Jairo Diaz\diazja01,28,COL,0,0,0,0,0,0,0
248,Edwin Diaz\diazed04,25,NYM,0,0,0,0,0,0,0
249,Anthony DeSclafani\desclan01,29,CIN,57,6,0,0,0,0,0
250,Jacob deGrom*\degroja01,31,NYM,70,13,2,0,2,4,0
251,Grant Dayton*\daytogr01,31,ATL,0,0,0,0,0,0,0
252,Wade Davis\daviswa01,33,COL,0,0,0,0,0,0,0
253,Austin Davis*\davisau01,26,PHI,0,0,0,0,0,0,0
254,Zach Davies\davieza02,26,MIL,55,8,2,0,0,1,0
255,Yu Darvish\darviyu01,32,CHC,62,5,0,0,0,2,1
256,Kyle Crick*\crickky01,26,PIT,0,0,0,0,0,0,0
257,Stefan Crichton\crichst01,27,ARI,0,0,0,0,0,0,0
258,Patrick Corbin*\corbipa01,29,WSN,72,6,1,0,0,3,0
259,Sam Coonrod\coonrsa01,26,SFG,0,0,0,0,0,0,0
260,Adam Conley*\conlead01,29,MIA,1,0,0,0,0,0,0
261,Alex Claudio*\claudal01,27,MIL,0,0,0,0,0,0,0
262,Taylor Clarke\clarkta01,26,ARI,25,6,0,0,1,0,0
263,Steve Cishek\cishest01,33,CHC,2,0,0,0,0,0,0
264,Wei-Yin Chen\chenwe02,33,MIA,5,0,0,0,0,0,0
265,Tyler Chatwood\chatwty01,29,CHC,21,3,2,0,0,1,0
266,JT Chargois#\chargjt01,28,LAD,1,0,0,0,0,0,0
267,Andrew Chafin\chafian01,29,ARI,0,0,0,0,0,0,0
268,Jhoulys Chacin\chacijh01,31,MIL,25,3,0,0,1,1,0
269,Luis Castillo\castilu02,26,CIN,66,6,1,0,0,0,0
270,Genesis Cabrera*\cabrege01,22,STL,4,0,0,0,0,0,0
271,Corbin Burnes\burneco01,24,MIL,8,2,0,0,0,0,0
272,Nick Burdi\burdini01,26,PIT,0,0,0,0,0,0,0
273,Madison Bumgarner\bumgama01,29,SFG,76,8,0,0,2,9,0
274,Walker Buehler\buehlwa01,24,LAD,66,5,0,0,1,4,0
275,Jeff Brigham\brighje01,27,MIA,1,0,0,0,0,0,0
276,Austin Brice\briceau01,27,MIA,0,0,0,0,0,0,0
277,John Brebbia*\brebbjo01,29,STL,1,1,0,0,0,0,0
278,Steven Brault*\braulst01,27,PIT,50,14,1,0,1,1,0
279,Archie Bradley\bradlar01,26,ARI,1,0,0,0,0,0,0
280,Brad Brach\brachbr01,33,TOT,5,1,0,0,0,0,0
281,Matt Bowman\bowmama01,28,CIN,1,0,0,0,0,0,0
